2,[1.2862065211525044, 1.288677185752982, 1.307909782827608, 1.307909782827608, 1.307909782827608],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r4q')]
1,[1.2727909777191404, 1.2732833543894573, 1.2732833543894573, 1.2732833543894573, 1.2732833543894573],[('r4p',), ('r3p',), ('r3p',), ('r3p',), ('r3p',)]
1,[1.2727909777191404, 1.2732833543894573, 1.2732833543894573, 1.2732833543894573, 1.2732833543894573],[('r4p',), ('r3p',), ('r3p',), ('r3p',), ('r3p',)]
1,[1.2727909777191404, 1.2732833543894573, 1.274893096638067, 1.2759070885635, 1.2785223401309322],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
2,[1.2862065211525044, 1.288677185752982, 1.307909782827608, 1.3200808766937433, 1.322164130430408],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
3,[1.3632406344945118, 1.36455181074961, 1.3648916024798887, 1.3665197368900643, 1.3677716761504257],[('p4q', 'r4p', 'r4q'), ('r3q', 'p4q', 'r4p'), ('r3p', 'p4q', 'r4q'), ('r3p', 'r3q', 'p4q'), ('r2q', 'p4q', 'r4p')]
1,[1.2727909777191404, 1.2732833543894573, 1.274893096638067, 1.2759070885635, 1.2785223401309322],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
2,[1.2862065211525044, 1.288677185752982, 1.307909782827608, 1.3200808766937433, 1.322164130430408],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
3,[1.3632406344945118, 1.36455181074961, 1.3648916024798887, 1.3665197368900643, 1.3677716761504257],[('p4q', 'r4p', 'r4q'), ('r3q', 'p4q', 'r4p'), ('r3p', 'p4q', 'r4q'), ('r3p', 'r3q', 'p4q'), ('r2q', 'p4q', 'r4p')]
1,[1.2727909777191404, 1.2732833543894573, 1.274893096638067, 1.2759070885635, 1.2785223401309322],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
