10023,12,0
32,4,63
8,16,3253
88,1,3362
7505,2,4287
35218,256,5936
38077,1,6638
5,8,6686
4,1,7490
418,2,7711
21,1,7861
6195,9,7937
5552,2,7960
9006,16,8018
3376,1,8031
2,16,8082
9504,8,19873
16,2,20420
5,8,11446
16,16,18692
10291,2,23965
4,1,20171
6250,32,49410
8,2,8594
18,64,50819
26,16,54006
9,32,8581
9443,4,52852
67,1,52448
46,32,24367
19275,1,18754
111,2,16411
1261,2,53947
42,1,53888
129,4,54226
2,2,19907
77,8,53796
23,16,47840
7095,16,20492
104,4,11899
23,16,9116
10139,128,51290
144,2,53723
489,2,50895
22260,4,20111
10166,1,18244
4656,1,24412
9417,128,49348
